Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Director,canonical_Agency,canonical_Source,canonical_Ounce of Prevention Description,canonical_ECE Available Programs,canonical_NAEYC Valid Until,canonical_Address,canonical_Head Start Fund,canonical_Column,canonical_Program Name,canonical_Program Option,canonical_Zip,canonical_Neighborhood,canonical_CC fund,canonical_Purple binder service type,canonical_Website,canonical_Column2,canonical_Eearly Head Start Fund,canonical_Phone,canonical_IDHS Provider ID,canonical_Site name,canonical_Id,canonical_Progmod,canonical_Executive Director,canonical_Center Director,canonical_Funded Enrollment,canonical_Fax,canonical_NAEYC Program Id,canonical_Length of Day,canonical_Email Address,canonical_Number per Site HS,canonical_Number per Site EHS
11,1.0,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1030 w van buren st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'9068600',b'',b'hull house association - child dev. central office- hull house cds-homes',b'478',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
12,1.0,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'10509 s torrence ave',b'',b'',b'child care',b'',b'60617',b'',b'',b'',b'',b'child care',b'',b'3746466',b'',b'catholic charities of the archdiocese of chicago - st. kevin',b'12',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
12,1.0,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'10509 s torrence ave',b'',b'',b'child care',b'',b'60617',b'',b'',b'',b'',b'child care',b'',b'3746466',b'',b'catholic charities of the archdiocese of chicago - st. kevin',b'12',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
906,,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.99999420132,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'cp',b'',b'1100 s may st',b'',b'',b'child care',b'',b'60607',b'near west side',b'',b'',b'',b'child care',b'',b'6663787',b'',b'catholic charities of the archdiocese of chicago - cordia marian',b'14',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
13,0.99999420132,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'cp',b'',b'1100 s may st',b'',b'',b'child care',b'',b'60607',b'near west side',b'',b'',b'',b'child care',b'',b'6663787',b'',b'catholic charities of the archdiocese of chicago - cordia marian',b'14',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
907,,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.999809424082,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1120 n lamon ave',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'6267760',b'',b'bethel new life - molade child development center',b'1233',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'',b''
18,1.0,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1124 w ainslie st',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b'',b'',b'',b'',b'9897433',b'',b'south east asia center - south-east asia center(ainslie)',b'18',b'',b'',b'',b'',b'',b'',b'part day/full day',b'',b'',b''
19,0.999996615781,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'george jones, jr.'",b'anna luna',b'11410 s edbrooke',b'',b'',b'child care',b'roseland',b'60628',b'',b'yes',b'',b'no',b'child care',b'anna luna',b'4681918',b'',b'ada s. mckinley community services - mckinley - roseland',b'1235',b'no',b'7021ps(hs collaboration with childcare)',b'www.adasmckinley.org',b'ada s. mckinley community services',b'',b'',b'half day/full day',b'',b'',b''
19,0.999996615781,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'george jones, jr.'",b'anna luna',b'11410 s edbrooke',b'',b'',b'child care',b'roseland',b'60628',b'',b'yes',b'',b'no',b'child care',b'anna luna',b'4681918',b'',b'ada s. mckinley community services - mckinley - roseland',b'1235',b'no',b'7021ps(hs collaboration with childcare)',b'www.adasmckinley.org',b'ada s. mckinley community services',b'',b'',b'half day/full day',b'',b'',b''
622,1.0,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'phyllis daniels-ward',b'dexter smith',b'1145 w wilson ave',b'',b'',b'child care',b'uptown',b'60640',b'',b'yes',b'',b'no',b'',b'judi gibian-mennenga',b'8781700',b'',b'board trustees-city colleges of chicago - truman',b'21',b'no',"b'7099ps(hs collaboration with childcare & prek), 4386ps(child'",b'www.ccc.edu',b'board trustees-city colleges of chicago',b'',b'',b'extended day',b'',b'',b''
20,1.0,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'11640 s wentworth ave',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'9284041',b'',b'chicago state university - gingerbread house',b'23',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
20,1.0,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'11640 s wentworth ave',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'9284041',b'',b'chicago state university - gingerbread house',b'23',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
22,1.0,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'124 e 113th st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'7858163',b'',b'chicago state university - academy of early education',b'24',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
22,1.0,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'124 e 113th st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'7858163',b'',b'chicago state university - academy of early education',b'24',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
23,1.0,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1300 e 75th st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'4930000',b'',b'easter seals society of metropolitan chicago - stepping stones early/childhood lear',b'26',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
24,0.999997660518,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'gertrude ricks',b'kimberly johnson',b'1312 s racine ave',b'',b'',b'state pre-kindergarten',b'near west side',b'60608',b'',b'yes',b'',b'no',b'early head start',b'kimberly johnson',b'7466024',b'',b'marcy newberry association - fosco abla center',b'28',b'yes',"b'4195it(child care it center), 7086ps (hs collaboration with'",b'www.marcy-newberry.org',b'marcy newberry association',b'',b'',b'half day/full day',b'',b'',b''
24,0.999997660518,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'gertrude ricks',b'kimberly johnson',b'1312 s racine ave',b'',b'',b'state pre-kindergarten',b'near west side',b'60608',b'',b'yes',b'',b'no',b'early head start',b'kimberly johnson',b'7466024',b'',b'marcy newberry association - fosco abla center',b'28',b'yes',"b'4195it(child care it center), 7086ps (hs collaboration with'",b'www.marcy-newberry.org',b'marcy newberry association',b'',b'',b'half day/full day',b'',b'',b''
25,1.0,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1345 n karlov ave',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'2764118',b'',b'salvation army - incarnation / salvation army',b'29',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
27,1.0,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1354 w 61st st',b'',b'',b'child care',b'',b'60636',b'',b'',b'',b'',b'child care',b'',b'4715100',b'',b'abraham lincoln centre - hope presbyterian church',b'30',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'',b''
28,0.842317724228,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'cp',"b""deborah o'brien""",b'1449 s keeler',b'',b'',b'child care',b'north lawndale',b'60623',b'north lawndale',b'yes',b'',b'yes',b'',"b""deborah o'brien""",b'5213126',b'',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'32',b'no',"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'www.catholiccharities.net',b'catholic charities of the archdiocese of chicago',b'',b'',b'half day/full day',b'',b'',b''
28,0.842317724228,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'cp',"b""deborah o'brien""",b'1449 s keeler',b'',b'',b'child care',b'north lawndale',b'60623',b'north lawndale',b'yes',b'',b'yes',b'',"b""deborah o'brien""",b'5213126',b'',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'32',b'no',"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'www.catholiccharities.net',b'catholic charities of the archdiocese of chicago',b'',b'',b'half day/full day',b'',b'',b''
29,0.954201360544,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'john schnier',b'doris holden',b'1500 n mason',b'',b'',b'community partnerships',b'austin',b'60651',b'austin',b'yes',b'',b'no',b'child care',b'doris holden',b'2371930',b'',b'lutheran social services north austin',b'2226',b'no',"b'4115it(child care it center), 7015ps(hs collaboration with c'",b'www.lssi.org',b'lutheran social services of illinois',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b''
30,1.0,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1500 w 69th st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'4710699',b'',b'marcy newberry association - new birth',b'34',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
31,0.767842590809,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'harry wells',b'elizabeth heilbronn',b'1501 n harding',b'',b'',b'community partnerships',b'humboldt park',b'60651',b'humboldt park',b'yes',b'',b'no',b'child care',b'elizabeth heilbronn',b'2785837',b'',b'chicago youth centers - mt. moriah-taylor',b'35',b'no',b'7065ps(hs collaboration with childcare & prek)',b'www.chicagoyouthcenters.org',b'chicago youth centers',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b''
32,0.992643386126,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'gertrude ricks',b'barbara tucker',b'1539 s springfield',b'',b'',b'state pre-kindergarten',b'north lawndale',b'60623',b'north lawndale',b'yes',b'',b'yes',b'child care',b'barbara tucker',b'7612300',b'',b'marcy newberry association - marcy center',b'37',b'no',"b'2751it(child care it center), 7135ps(hs collaboration with c'",b'www.marcy-newberry.org',b'marcy newberry association',b'',b'',b'half day/full day',b'',b'',b''
32,0.992643386126,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'gertrude ricks',b'barbara tucker',b'1539 s springfield',b'',b'',b'state pre-kindergarten',b'north lawndale',b'60623',b'north lawndale',b'yes',b'',b'yes',b'child care',b'barbara tucker',b'7612300',b'',b'marcy newberry association - marcy center',b'37',b'no',"b'2751it(child care it center), 7135ps(hs collaboration with c'",b'www.marcy-newberry.org',b'marcy newberry association',b'',b'',b'half day/full day',b'',b'',b''
33,0.914362323284,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'lavetter terry',b'traci medina',b'1545 w morse',b'',b'',b'community partnerships',b'rogers park',b'60626',b'',b'yes',b'',b'no',b'child care',b'guadalupe herrera',b'2621390',b'',b'mary crane league mary crane center (morse)',b'38',b'no',b'4270ps(hs collaboration with childcare & prek)',b'www.marycrane.org',b'mary crane league',b'',b'',"b'8-11 hours, varies by facility'",b'',b'',b''
34,1.0,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1631 e 71st st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'4937500',b'',b'south shore bible - maranatha',b'39',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
37,0.992363810539,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'283654',b'dan valliere',b'vanessa powell',b'1633 n hamlin',b'',b'',b'head start',b'humboldt park',b'60647',b'humboldt park',b'yes',b'powellv@chicagocommons.org',b'yes',b'child care',b'nilda vargas',b'2278551',b'',b'chicago commons association - taylor center for new experiences',b'40',b'no',"b'2629it(child care it center), 3401ps(hs collaboration with c'",b'www.chicagocommons.org',b'chicago commons association',b'',b'',b'extended day',b'08/31/14',b'',b''
38,1.0,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1652 w foster ave',b'',b'',b'child care',b'',b'60640',b'',b'',b'',b'',b'child care',b'',b'8789925',b'',b'catholic charities of the archdiocese of chicago - ebenezer',b'41',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
39,0.984580338001,42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'dan valliere',b'nilda vargas',b'1653 w 43rd st',b'',b'',b'child care',b'new city',b'60609',b'new city',b'yes',b'',b'yes',b'',b'jenny seacat',b'8262669',b'',b'chicago commons association - paulo freire',b'42',b'no',"b'2626it(child care it center), 3402ps(hs collaboration with c'",b'www.chicagocommons.org',b'chicago commons association',b'',b'',b'half day/full day',b'',b'',b''
41,0.889712639153,43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'293383',b'',b'',b'1701 w superior',b'',b'',b'child care',b'west town',b'60622',b'',b'yes',b'lfalk@eriehouse.org',b'no',b'child care',b'celena roldan',b'5635800',b'',b'erie neighborhood house - erie community center',b'43',b'no',"b'2640it(child care it center), 3256ps(hs collaboration with c'",b'http://www.eriehouse.org',b'erie neighborhood house',b'',b'',b'half day/full day',b'05/31/13',b'',b''
